subject,system,duration,standing_up,first_walk,first_turn,second_walk,second_turn,sitting_down
s01,C1,222,603.0,794.0,544.0,790.0,1692.0,220.0
s01,C2,409,282.0,188.0,157.0,236.0,274.0,452.0
s02,C1,422,168.0,246.0,289.0,271.0,210.0,540.0
s02,C2,252,281.0,123.0,303.0,286.0,266.0,204.0
s03,C1,410,242.0,600.0,636.0,517.0,266.0,181.0
s03,C2,175,201.0,234.0,368.0,413.0,255.0,315.0
s04,C1,456,479.0,298.0,410.0,652.0,415.0,342.0
s04,C2,447,379.0,411.0,462.0,446.0,228.0,345.0
s05,C1,438,570.0,571.0,109.0,203.0,119.0,414.0
s05,C2,369,364.0,1199.0,1265.0,1042.0,1737.0,619.0
s06,C1,295,518.0,472.0,198.0,278.0,271.0,337.0
s06,C2,344,151.0,278.0,344.0,319.0,134.0,260.0
s07,C1,366,141.0,157.0,140.0,265.0,233.0,399.0
s07,C2,548,616.0,483.0,285.0,342.0,145.0,471.0
s08,C1,241,157.0,277.0,327.0,284.0,206.0,309.0
s08,C2,197,179.0,124.0,344.0,351.0,220.0,262.0
s09,C1,390,149.0,137.0,296.0,304.0,246.0,327.0
s09,C2,466,159.0,259.0,419.0,395.0,194.0,175.0
s10,C1,218,412.0,570.0,375.0,181.0,169.0,348.0
s11,C1,624,445.0,457.0,268.0,311.0,269.0,218.0
s11,C2,538,496.0,377.0,654.0,646.0,214.0,319.0
s12,C1,356,264.0,291.0,355.0,240.0,172.0,209.0
s12,C2,640,404.0,315.0,203.0,192.0,150.0,566.0
s13,C1,292,214.0,320.0,252.0,298.0,202.0,268.0
s13,C2,506,417.0,279.0,328.0,213.0,147.0,149.0
s14,C1,850,355.0,393.0,182.0,259.0,257.0,754.0
s14,C2,513,355.0,192.0,190.0,276.0,204.0,410.0
s15,C1,340,336.0,294.0,333.0,448.0,330.0,201.0
s15,C2,340,392.0,205.0,688.0,708.0,658.0,614.0
s16,C1,508,481.0,412.0,310.0,392.0,296.0,399.0
s16,C2,561,206.0,241.0,554.0,650.0,190.0,325.0
s17,C1,300,291.0,339.0,266.0,366.0,120.0,349.0
s17,C2,773,232.0,216.0,150.0,331.0,245.0,882.0
s18,C1,365,408.0,448.0,306.0,298.0,209.0,301.0
s18,C2,236,478.0,344.0,254.0,289.0,139.0,266.0
s19,C1,256,327.0,184.0,366.0,388.0,275.0,293.0
s19,C2,438,435.0,953.0,389.0,486.0,1520.0,320.0
s20,C1,194,559.0,1123.0,561.0,990.0,1139.0,127.0
s20,C2,934,590.0,1250.0,526.0,1415.0,2542.0,1297.0
s21,C1,125,277.0,258.0,203.0,321.0,247.0,129.0
s21,C2,1221,426.0,387.0,576.0,799.0,711.0,556.0
s22,C1,282,111.0,180.0,403.0,466.0,205.0,271.0
s22,C2,466,221.0,207.0,572.0,614.0,203.0,413.0
s23,C1,273,155.0,285.0,187.0,159.0,140.0,225.0
s23,C2,323,122.0,175.0,226.0,174.0,115.0,250.0
s24,C1,214,146.0,385.0,830.0,535.0,257.0,199.0
s24,C2,302,572.0,600.0,381.0,334.0,242.0,133.0
s25,C1,131,273.0,345.0,138.0,130.0,136.0,231.0
s26,C1,67,96.0,285.0,186.0,228.0,124.0,116.0
s26,C2,135,203.0,218.0,250.0,197.0,160.0,234.0
s27,C1,252,88.0,168.0,138.0,195.0,233.0,195.0
s27,C2,320,187.0,351.0,540.0,309.0,419.0,308.0
s28,C1,105,61.0,56.0,151.0,205.0,96.0,99.0
s28,C2,233,256.0,111.0,202.0,229.0,125.0,198.0
s29,C1,243,86.0,228.0,197.0,258.0,109.0,187.0
s29,C2,247,285.0,247.0,238.0,241.0,173.0,385.0
s30,C1,193,191.0,224.0,197.0,284.0,302.0,289.0
s30,C2,212,542.0,547.0,507.0,528.0,807.0,739.0
