"executions","device","consumption"
60,"sp",0.33
60,"sp",0.36
40,"sp",0.26
10,"sp",0.06
10,"sp",0.07
10,"sp",0.08
10,"sp",0.06
10,"sp",0.05
10,"sp",0.05
10,"sp",0.06
30,"sp",0.18
40,"sp",0.18
60,"sp-paired",0.24
30,"sp-paired",0.12
30,"sp-paired",0.09
40,"sp-paired",0.19
10,"sp-paired",0.06
10,"sp-paired",0.06
10,"sp-paired",0.07
10,"sp-paired",0.05
10,"sp-paired",0.05
10,"sp-paired",0.05
10,"sp-paired",0.05
70,"sp-paired",0.30
120,"sw",0.82
40,"sw",0.39
10,"sw",0.12
10,"sw",0.11
20,"sw",0.21
10,"sw",0.12
20,"sw",0.19
70,"sw",0.57
